,ｎ数(人),転落・転倒(人),その他(人)
全体,154,152,2
男の子,78,77,1
男の子０歳,1,1,0
男の子１歳,17,17,0
男の子２歳,32,31,1
男の子３歳,16,16,0
男の子４歳,9,9,0
男の子５歳,3,3,0
男の子６歳,0,0,0
女の子,76,75,1
女の子０歳,1,1,0
女の子１歳,18,18,0
女の子２歳,23,23,0
女の子３歳,26,26,0
女の子４歳,5,5,0
女の子５歳,1,0,1
女の子６歳,2,2,0
