回答,割合（％）,,
比較的軽いスポーツ・運動ウオーキング、散歩（散策、ペットの散歩などを含む）,65.5,,
比較的軽いスポーツ・運動体操（ラジオ体操、職場体操、ストレッチ、エクササイズ、エアロビクス、ヨガ、ピラティス、縄跳びを含む）,36.2,,
比較的軽いスポーツ・運動軽い球技（キャッチボール、卓球、ドッジボール、バドミントン、テニス、バレーボール、サッカー、フットサル、ボッチャなど）,18.1,,
比較的軽いスポーツ・運動軽い水泳（水中歩行・水中運動を含む）,15.4,,
比較的軽いスポーツ・運動ランニング（ジョギング）,14.6,,
比較的軽いスポーツ・運動室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を使ってする運動,14.6,,
比較的軽いスポーツ・運動ボウリング,10.9,,
比較的軽いスポーツ・運動ダンス（フォークダンス、ジャズダンス、社交ダンス、フラダンス、バレエ、民謡踊り、車いすダンスを含む）,5.1,,
比較的軽いスポーツ・運動ゲートボール、グラウンドゴルフなどゴルフ型スポーツ,2.6,,
比較的軽いスポーツ・運動スポーツ吹矢、フライングディスクなどのニュースポーツ,0.7,,
比較的軽いスポーツ・運動その他の比較的軽いスポーツ・運動,2.7,,
比較的広域にわたるスポーツ・運動サイクリング、モーター（サイクル）スポーツ,14.0,,
比較的広域にわたるスポーツ・運動ゴルフ,9.2,,
比較的広域にわたるスポーツ・運動海水浴（遊泳）,8.2,,
比較的広域にわたるスポーツ・運動ハイキング、ワンダーフォーゲル、オリエンテーリング、ウオークラリー,7.5,,
比較的広域にわたるスポーツ・運動スキー、スノーボード,5.9,,
比較的広域にわたるスポーツ・運動登山（クライミング）,5.9,,
比較的広域にわたるスポーツ・運動釣り,4.6,,
比較的広域にわたるスポーツ・運動キャンプ、オートキャンプ,4.5,,
比較的広域にわたるスポーツ・運動ボート、ヨット、スキンダイビング、スクーバダイビング、カヌー、水上バイク、サーフィン、ウィンドサーフィン、ボディボード、ボードセーリング,3.1,,
比較的広域にわたるスポーツ・運動マラソン、トレイルランニング,2.0,,
比較的広域にわたるスポーツ・運動スケート、ローラースケート、スケートボード,1.9,,
比較的広域にわたるスポーツ・運動ハングライダー、パラグライダー、スカイダイビング,0.1,,
比較的広域にわたるスポーツ・運動その他の比較的広域にわたるスポーツ・運動,0.6,,
競技的スポーツテニス（車いすテニスを含む）、ソフトテニス,3.6,,
競技的スポーツサッカー（ブラインドサッカーを含む）、フットサル,3.3,,
競技的スポーツ野球,2.9,,
競技的スポーツ卓球（サウンドテーブルテニスを含む）,2.9,,
競技的スポーツバレーボール（シッティングバレーボールを含む）,2.0,,
競技的スポーツ柔道、剣道、空手、相撲、合気道など武道,1.5,,
競技的スポーツ水泳競技,1.4,,
競技的スポーツソフトボール,1.0,,
競技的スポーツ陸上競技,0.8,,
競技的スポーツボクシング、レスリングなど格闘技,0.7,,
競技的スポーツ弓道、アーチェリー,0.3,,
競技的スポーツラグビー（タグラグビー、ウィルチェアーラグビーを含む）,0.1,,
競技的スポーツその他の球技スポーツ（バスケットボール（車椅子バスケットボールを含む）、バドミントンなど）,1.7,,
競技的スポーツその他の競技的スポーツ,0.7,,
スポーツや運動は実施しなかった,15.0,,
備考,,n=1820,M.T.=291.8
