実施時期,平均借入先数(社)
平成24年9月,3.8
平成25年3月,3.7
平成25年9月,3.8
平成26年3月,3.3
平成26年9月,4.5
平成27年3月,4.4
平成27年9月,4.3
平成28年3月,4.2
平成28年9月,4.5
平成29年3月,4.7
