,n,地域で主催するイベントや大会（町会、老人会、子供会、地域スポーツクラブなどの大会や教室など）（％）,東京都や区市町村・社会体育団体が主催するイベントや大会（地域のスポーツ施設でのイベント、マラソン大会など）（％）,民間スポーツ団体主催のイベントや大会（民間スポーツクラブでのスポーツイベントや大会など）（％）,学校主催のイベントや大会（運動会など）（％）,職場（会社）主催のイベントや大会（ボウリング大会、野球大会、駅伝大会など）（％）,その他（％）,特に決まっていない（％）,参加したいと思わない（％）
全体,1820,16.3,14.3,8.6,6.8,6.2,0.8,27.9,38.7
ライフステージ別学校教育期,64,10.9,20.3,18.8,21.9,7.8,-,31.3,23.4
ライフステージ別独身期,174,5.2,6.9,6.9,1.7,8,0.6,31,48.3
ライフステージ別家族形成期,161,20.5,22.4,9.9,16.1,13,-,33.5,22.4
ライフステージ別家族成長前期,167,25.7,25.1,13.2,30.5,10.2,1.2,26.9,19.8
ライフステージ別家族成長後期,147,15.6,23.8,10.2,7.5,7.5,0.7,29.9,31.3
ライフステージ別家族成熟期,290,16.9,16.9,10.7,3.8,6.9,1,29,37.2
ライフステージ別高齢期,430,24,7.4,4.9,0.7,0.9,1.2,24.4,45.1
