,商品・役務分類,28年度件数,27年度件数,対前年度比(%),主な項目
1,放送・コンテンツ等,6627,6848,96.8,インターネットを利用した架空・不当請求、公共放送の受信料等のテレビ放送サービス等
2,役務その他,1867,1970,94.8,公的機関を装った個人情報削除サービス、興信所、不動産仲介サービス、廃品回収サービス等
3,商品一般,1674,1713,97.7,身に覚えのない架空請求ハガキ、不審なメールや電話、仮想通貨によるトラブル、不用品の買取り等
4,工事・建築・加工,1646,1821,90.4,屋根工事、塗装工事、増改築工事等
5,インターネット通信サービス,1347,1233,109.2,光ファイバー、プロバイダ契約等
