,50万円未満（％）,50～100万円未満（％）,100～300万円未満（％）,300～500万円未満（％）,500～1000万円未満（％）,1000万円以上（％）
リフォームに関する相談全体（810件）,35.8,15.7,32.0,7.4,5.2,4.0
うち店舗購入（263件）,30.0,13.7,27.0,12.9,9.1,7.2
うち訪問販売（383件）,38.4,19.3,36.0,3.4,1.8,1.0
