回答,今回調査（％）,平成26年（％）,備考
感動した,66.3,61.8,
次回も観戦したいと思った,40.2,43.2,
元気が出た,35.6,36.0,
気分転換ができた・ストレスが解消した,34.8,40.9,
選手に親近感をもった,26.2,27.4,
自分もスポーツや運動をしたくなった,24.3,25.2,
スポーツや運動を好きになった,12.9,13.8,
感性が豊かになった,11.1,11.2,
今後は観戦したくないと思った,0.7,0.6,
その他,1.5,1.5,
わからない,4.3,4.2,
,,,今回調査（n=1689）
,,,平成26年（n=1789）
