商品・役務名,平成21年度(件）,平成22年度(件）,平成23年度(件）,平成24年度(件）,平成25年度上半期(件）
増改築工事,439,460,529,468,271
屋根工事,277,301,370,331,213
壁工事,100,129,132,113,69
塗装工事,361,369,392,437,250
内装工事,331,354,335,320,211
衛生設備工事,440,337,351,315,185
白アリ駆除サービス,131,130,99,107,69
床下換気扇,36,29,40,38,23
乾燥剤,33,38,34,35,19
