,平成23年度(20034件),平成23年度件数,平成24年度(18971件),平成24年度件数,平成25年度(18823件),平成25年度件数,平成26年度上半期(12124件),平成26年度上半期件数
1,不当請求,14301,不当請求,12796,不当請求,12844,不当請求,8861
2,ポルノ・風俗,10465,ポルノ・風俗,7066,ポルノ・風俗,8563,ポルノ・風俗,5833
3,高価格・料金,3047,高価格・料金,2359,高価格・料金,2689,高価格・料金,1648
4,無料商法,1733,迷惑メール,2172,解約一般,2031,解約一般,1333
5,解約一般,1678,解約一般,1945,迷惑メール,1762,迷惑メール,1069
6,迷惑メール,1542,無料商法,1500,無料商法,1577,電子広告,1033
7,未成年者契約,1428,電子広告,1484,電子広告,1479,無料商法,917
8,返金,1410,返金,1479,返金,1460,プライバシー,911
9,プライバシー,1399,プライバシー,1439,プライバシー,1282,返金,897
10,電子広告,1393,詐欺,1172,未成年者契約,1216,詐欺,747
