回答/回答人数,毎回充電している(人),頻繁に充電している(人),たまに充電している(人),ほとんど充電していない(人),充電していない(人),備考
ベッドや布団などの上/n=356人,187,56,36,10,67,
床の上/n=84人,43,18,7,3,13,
机・テーブルなどの家具の上/n=548人,243,119,101,23,62,
その他・不明/n=17人,6,4,2,1,4,
,,,,,,n=1005
,,,,,,単一回答
