,29歳以下（％）,30歳以下（％）,40歳代（％）,50歳代（％）,60歳代（％）,70歳代（％）,80歳以上（％）
"住宅リフォームに関する相談全体(1,103件)",1.2,5.3,10.2,14.9,23.6,24.6,20.3
うち店舗購入(333件),1.5,7.2,14.1,17.4,27.0,20.7,12.0
うち訪問販売(482件),0.4,1.9,7.5,13.1,19.9,27.8,29.5
