回答,割合(％),人数(人),備考
防水端末を水に濡らしてしまったことによるトラブル経験がある,2.4,24,
非防水端末を水に濡らしてしまったことによるトラブル経験がある,6.4,64,
防水端末を水に濡らしたが、トラブル経験はない,9.2,92,
非防水端末を水に濡らしたが、トラブル経験はない,9.4,94,
,,,n=997
,,,単一回答
