,合計（件）,関係団体,区市町,都(件)
H19.12,117,0,0,117
H20.9,508,179,99,230
H21.3,447,178,160,109
H21.9,815,570,119,126
H22.3,998,700,92,206
H22.9,1037,677,106,254
H23.3,723,587,62,74
H23.9,428,206,45,177
H24.3,316,145,53,118
H24.9,297,147,50,100
H25.3,293,130,48,115
H25.9,312,99,45,168
H26.3,262,101,53,108
H26.9,308,109,49,150
H27.3,250,116,55,79
H27.9,206,70,43,93
H28.3,223,96,47,80
H28.9,208,95,36,77
H29.3,229,99,46,84
