,n,道路や遊歩道（％）,広場や公園（％）,民間のスポーツ施設（％）,自宅（％）,山・川・海（％）,公共のスポーツ施設（％）,学校の体育施設（％）,職場のスポーツ施設（％）,その他（％）,わからない（％）
全体,1547,64.5,27.6,26.2,21.5,19.8,19.3,5.4,1.7,3.5,0.8
エリア別区部（計）,1011,63.0,27.7,27.7,20.9,19.6,19.4,5.7,1.6,3.0,0.9
エリア別区部センター・コア,247,62.3,26.7,24.7,19.0,17.4,19.8,4.5,0.8,3.2,1.6
エリア別区部区部東部・北部,326,61.3,28.2,24.8,21.8,16.9,18.4,6.1,1.8,3.4,0.6
エリア別区部区部西部・南部,438,64.6,27.9,31.5,21.2,22.8,19.9,6.2,1.8,2.5,0.7
エリア別市町村部（計）,536,67.4,27.4,23.5,22.8,20.1,19.0,4.7,2.1,4.5,0.6
エリア別市町村部多摩東部,194,68.6,30.9,24.2,21.1,20.6,18.6,3.6,1.0,3.6,
エリア別市町村部多摩中央部北,79,57.0,27.8,21.5,15.2,27.8,19.0,7.6,2.5,3.8,2.5
エリア別市町村部多摩中央部南,229,68.1,25.3,23.6,26.2,17.9,20.1,4.4,2.6,5.2,0.4
エリア別市町村部多摩西部・島しょ,34,79.4,20.6,23.5,26.5,14.7,14.7,5.9,2.9,5.9,
性・年齢別男性（計）,741,64.9,30.2,26.6,17.5,21.5,17.7,5.7,1.5,3.2,0.7
性・年齢別男性18・19歳,16,31.3,37.5,18.8,,18.8,37.5,43.8,,,6.3
性・年齢別男性20代,74,56.8,43.2,32.4,24.3,24.3,27.0,18.9,2.7,5.4,
性・年齢別男性30代,99,58.6,35.4,27.3,16.2,27.3,25.3,7.1,2.0,2.0,1.0
性・年齢別男性40代,150,65.3,34.0,31.3,14.7,30.0,22.0,4.7,2.0,1.3,0.7
性・年齢別男性50代,140,67.9,23.6,29.3,17.1,19.3,7.9,2.9,2.1,2.9,0.7
性・年齢別男性60代,133,73.7,22.6,21.1,13.5,18.8,14.3,1.5,0.8,6.0,
性・年齢別男性70歳以上,129,65.9,28.7,20.9,24.8,10.9,13.2,0.8,,3.1,0.8
性・年齢別女性（計）,806,64.1,25.2,25.9,25.2,18.2,20.7,5.1,2.0,3.7,0.9
性・年齢別女性18・19歳,12,75.0,16.7,41.7,25.0,33.3,33.3,58.3,,16.7,
性・年齢別女性20代,81,71.6,28.4,28.4,21.0,29.6,13.6,11.1,1.2,2.5,
性・年齢別女性30代,94,68.1,33.0,31.9,22.3,19.1,23.4,3.2,3.2,,1.1
性・年齢別女性40代,179,63.1,30.7,26.8,24.6,25.7,24.6,3.9,3.4,3.9,0.6
性・年齢別女性50代,160,65.0,21.9,30.6,28.8,19.4,15.0,4.4,2.5,1.9,1.3
性・年齢別女性60代,128,65.6,22.7,21.9,25.8,11.7,21.9,4.7,1.6,3.1,0.8
性・年齢別女性70歳以上,152,55.9,18.4,17.1,25.7,5.9,22.4,1.3,,7.9,1.3
職業別自営・家族従業（計）,199,65.3,27.6,24.1,21.1,20.6,14.1,3.5,1.5,2.5,2.0
職業別勤め（計）,803,64.4,28.4,29.1,19.4,23.4,18.3,4.6,2.7,3.0,0.6
職業別勤め経営・管理職,46,58.7,21.7,37.0,21.7,23.9,17.4,8.7,,2.2,
職業別勤め専門・技術職,35,60.0,28.6,25.7,25.7,22.9,22.9,5.7,5.7,,
職業別勤め事務職,411,68.1,28.7,31.4,19.5,25.1,18.7,4.9,2.7,2.9,0.7
職業別勤め労務・技能職,126,56.3,26.2,26.2,15.9,19.8,18.3,0.8,3.2,4.8,1.6
職業別勤め販売・サービス職,161,64.0,31.1,24.2,20.5,20.5,16.1,4.3,1.9,2.5,
職業別無職の主婦・主夫,355,66.8,25.6,23.7,25.9,13.5,23.7,2.5,0.3,5.4,0.6
職業別学生,65,60.0,35.4,30.8,23.1,33.8,33.8,41.5,1.5,3.1,1.5
職業別その他の無職,118,59.3,23.7,15.3,22.0,5.9,14.4,2.5,,2.5,
