回答,割合(％),人数(人),備考
店舗販売（新品）,89.7,901,
店舗販売（中古）,1.0,10,
通信販売（新品）,6.4,64,
通信販売（中古）,0.3,3,
家族、友人等から譲り受けた（オークション等を含む）,1.,10,
その他,0.7,7,
わからない（覚えていない）,1.0,10,
,,,n=1005
,,,単一回答
