,生活に満足(％),生活にやや満足(％),どちらともいえない(％),生活にやや不満(％),生活に不満(％)
仕事に満足,53.2,31.4,13.5,1.3,0.6
仕事にやや満足,17.9,58.8,17.3,5.4,0.6
どちらともいえない,13.2,38.6,37.6,8.2,2.5
仕事にやや不満,16.5,42.4,29.4,9.4,2.4
仕事に不満,21.3,25.5,25.5,6.4,21.3
