回答,男性(％),女性(％)
子供にいい影響を与える,45.2,60.9
男性も家事・育児を行うことは、当然である,52.5,49.2
仕事と両立させることは、現実として難しい,38.6,31.5
家事・育児を行う男性は、時間の使い方が効率的で、仕事もできる,22.0,37.5
男性自身も充実感が得られる,23.6,32.6
家事・育児は女性の方が向いている,18.5,10.9
妻が家事・育児をしていないと誤解される,2.5,4.6
周囲から冷たい目で見られる,1.7,1.8
男性は、家事・育児を行うべきではない,0.9,0.9
その他,2.0,1.9
特にない,1.7,1.5
わからない,3.6,2.5
