,法人数(法人),構成比(％),対可能数構成比(％)
合計,1601,100.0,
調査可能数,1327,82.9,100.0
調査完了,782,48.8,58.9
回答拒否,365,22.8,27.5
未回収（不在等）,180,11.2,13.6
調査不可能,274,17.1,
所在地・移転先不明,228,14.2,
解散,23,1.4,
活動休止,16,1.0,
その他,7,0.4,
