質問,割合(%)
教育・福祉サービスなどの生活情報,62.4
文化スポーツなどのイベント情報,56.9
相談窓口などの情報,43.6
まちづくり・環境などの都市基盤に関する情報,38.9
政策の形成過程などの情報,22.1
産業・雇用などに関する情報,18.6
その他,3.1
