回答,今回調査（％）,平成26年（％）,備考
テニス（車いすテニスを含む）,76.3,66.0,
水泳競技,62.2,19.5,
陸上競技（車いすマラソンを含む）,54.6,40.7,
バスケットボール（車椅子バスケットボールを含む）,48.6,36.4,
柔道,37.6,3.0,
ボッチャ,32.4,1.7,
サッカー（ブラインドサッカーを含む）、フットサル,26.9,22.0,
卓球（サウンドテーブルテニスを含む）,22.3,3.4,
ゴールボール,15.7,5.6,
バレーボール（シッティングバレーを含む）,12.8,6.8,
自転車,11.8,5.4,
ウィルチェアーラグビー,10.7,0.7,
アーチェリー,6.9,2.7,
アルペンスキー,5.4,19.7,
クロスカントリースキー,3.7,10.6,
パワーリフティング,3.0,0.2,
射撃,2.8,1.8,
バイアスロン,2.5,5.0,
セーリング、ボート,2.2,0.1,
その他,0.7,1.9,
わからない,1.6,2.7,
,,,今回調査（n=1295）
,,,平成26年（n=981）
