,ｎ数(人),転落・転倒(人),誤飲(人),やけど(人),その他(人)
全体,10,3,3,3,1
男の子,5,2,0,3,0
男の子０歳,1,0,0,1,0
男の子１歳,2,0,0,2,0
男の子２歳,0,0,0,0,0
男の子３歳,2,2,0,0,0
男の子４歳,0,0,0,0,0
男の子５歳,0,0,0,0,0
男の子６歳,0,0,0,0,0
女の子,5,1,3,0,1
女の子０歳,0,0,0,0,0
女の子１歳,2,0,2,0,0
女の子２歳,1,1,0,0,0
女の子３歳,1,0,1,0,0
女の子４歳,1,0,0,0,1
女の子５歳,0,0,0,0,0
女の子６歳,0,0,0,0,0
