回答,割合(％),人数(人),備考
1年未満,48.6,18,
1年,18.9,7,
2年,21.6,8,
3年,0.0,0,
4年,0.0,0,
5年,2.7,1,
6年,0.0,0,
7年,0.0,0,
8年以上,2.7,1,
覚えていない,5.4,2,
,,,n=37
,,,単一回答
