回答,今回調査（％）,平成26年（％）,備考
学校、職場,39.0,41.1,
知人や友人、家族,33.3,42.1,
東京都や区市町村の広報紙,22.3,20.8,
ホームページ、ブログ,12.3,11.2,
ポスター、チラシ,8.8,10.6,
新聞,5.4,3.0,
ＳＮＳ（ツイッター、フェイスブックなど）,4.9,3.4,
テレビ,2.0,2.0,
雑誌,2.0,2.4,
ラジオ,0.5,0.4,
その他,10.0,6.4,
わからない,3.7,5.0,
,,,今回調査（n=408）
,,,平成26年（n=499）
,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
