,ｎ数(人),転落・転倒(人),溺水(人),その他(人)
全体,106,103,2,1
男の子,59,58,1,0
男の子０歳,2,2,0,0
男の子１歳,13,13,0,0
男の子２歳,21,21,0,0
男の子３歳,18,17,1,0
男の子４歳,3,3,0,0
男の子５歳,2,2,0,0
男の子６歳,0,0,0,0
女の子,47,45,1,1
女の子０歳,5,4,1,0
女の子１歳,4,4,0,0
女の子２歳,20,19,0,1
女の子３歳,7,7,0,0
女の子４歳,6,6,0,0
女の子５歳,4,4,0,0
女の子６歳,1,1,0,0
