回答,関心がある（％）,やや関心がある（％）,あまり関心がない（％）,関心がない（％）,わからない（％）,関心がある（計）（％）,関心がない（計）（％）,備考
"全体（n=1,820）",22.5,35.5,26.5,10.1,5.4,58.0,36.6,
スポーツ観戦の有無別実際に観戦した（計）（n=716）,28.4,40.4,22.5,6.1,2.7,68.7,28.6,
"観戦しなかった（n=1,089）",18.7,32.2,29.4,12.6,7.1,51.0,42.0,
"テレビ・ラジオ、インターネット配信等での観戦の有無別テレビ・ラジオ、インターネット配信等で観戦した（計）（n=1,680）",23.6,37.3,26.8,7.6,4.8,60.9,34.3,
観戦しなかった（n=130）,7.7,15.4,24.6,40.8,11.5,23.1,65.4,
,,,,,,,,（注）『関心がある（計）』は「関心がある」「やや関心がある」の合計『関心がない（計）』は「関心がない」「あまり関心がない」の合計
