回答,週5日以上（年251日以上）（％）,週3～4日（年151日～250日）（％）,週に2日（年101日～150日）（％）,週に1日（年51日～100日）（％）,月に1～3日（年12日～50日）（％）,3ヶ月に1～2日（年4日～11日）（％）,年に1～3日（％）,わからない（％）,備考
今回調査（n=239）,4.6,7.5,8.4,13.0,18.4,20.5,24.7,2.9,
平成24年（n=213）,7.0,5.2,7.5,14.1,24.9,15.0,23.5,2.8,
,,,,,,,,,（注）平成24年は「都民のスポーツ活動に関する世論調査（平成24年7月調査）」
