,n,アスリートが力を発揮できる競技環境の整備（％）,誰もが安全・安心に過ごすことができる高度防災都市の構築と治安維持（％）,多言語対応など世界に開かれた国際都市の形成（％）,世界で活躍できるトップアスリートの発掘・育成・支援（％）,「おもてなしの心」で、東京を訪れるすべての人々を歓迎する都市の実現（％）,円滑かつ快適に利用できる総合的な交通ネットワークの構築（％）,全ての人に優しいユニバーサルデザイン先進都市の形成（％）,再生可能エネルギーの利用促進など、環境にやさしい都市の創出（％）,日本文化の魅力を世界に発信できる芸術文化都市の創造（％）,その他（％）,わからない（％）
全体,1820,46.4,45.3,28.0,26.4,26.0,24.7,20.2,10.5,10.3,3.0,9.2
エリア別区部（計）,1184,45.8,45.4,29.5,26.6,25.3,25.4,20.9,10.3,10.0,2.9,8.4
エリア別区部センター・コア,297,49.5,43.1,32.0,21.9,27.6,25.6,24.6,10.1,7.7,3.0,7.1
エリア別区部区部東部・北部,381,42.5,46.2,24.9,29.7,25.2,20.5,18.4,11.3,10.8,2.9,9.2
エリア別区部区部西部・南部,506,46.0,46.0,31.4,27.1,24.1,29.1,20.8,9.7,10.7,2.8,8.7
エリア別市町村部（計）,636,47.6,45.1,25.3,25.9,27.4,23.3,18.7,11.0,10.8,3.1,10.7
エリア別市町村部多摩東部,236,53.8,44.1,24.2,28.4,29.2,28.0,18.2,11.4,13.6,3.8,7.6
エリア別市町村部多摩中央部北,99,43.4,29.3,28.3,23.2,17.2,19.2,23.2,8.1,9.1,7.1,16.2
エリア別市町村部多摩中央部南,263,43.7,51.3,26.6,24.3,29.3,22.1,17.9,11.8,8.7,1.1,10.3
エリア別市町村部多摩西部・島しょ,38,47.4,50.0,15.8,28.9,28.9,13.2,15.8,10.5,13.2,2.6,18.4
性・年齢別男性（計）,868,45.6,39.2,30.9,29.3,25.9,24.0,19.7,10.6,12.9,3.2,9.0
性・年齢別男性18・19歳,17,23.5,47.1,41.2,5.9,23.5,29.4,23.5,11.8,17.6,11.8,5.9
性・年齢別男性20代,87,42.5,26.4,41.4,26.4,17.2,25.3,20.7,10.3,10.3,6.9,8.0
性・年齢別男性30代,113,43.4,36.3,29.2,22.1,21.2,29.2,26.5,8.0,10.6,7.1,7.1
性・年齢別男性40代,168,44.6,41.1,38.1,27.4,32.7,29.2,19.6,9.5,10.7,0.6,7.7
性・年齢別男性50代,175,48.0,43.4,29.1,31.4,29.1,23.4,21.7,12.0,13.7,2.9,6.3
性・年齢別男性60代,156,50.6,35.3,27.6,36.5,25.6,20.5,19.2,11.5,15.4,2.6,9.0
性・年齢別男性70歳以上,152,44.7,44.7,22.4,30.9,23.7,17.1,11.8,11.2,14.5,1.3,15.8
性・年齢別女性（計）,952,47.2,50.8,25.4,23.7,26.2,25.3,20.6,10.5,7.9,2.7,9.5
性・年齢別女性18・19歳,13,38.5,38.5,53.8,7.7,46.2,7.7,15.4,7.7,15.4,15.4,7.7
性・年齢別女性20代,94,37.2,50.0,34.0,8.5,28.7,35.1,28.7,7.4,7.4,2.1,10.6
性・年齢別女性30代,113,46.0,54.9,24.8,22.1,22.1,28.3,17.7,9.7,10.6,1.8,5.3
性・年齢別女性40代,199,51.3,45.7,30.7,28.1,21.1,35.2,25.6,13.1,8.0,2.0,4.0
性・年齢別女性50代,181,51.9,53.6,24.9,28.2,23.8,24.9,20.4,13.8,5.0,3.9,7.2
性・年齢別女性60代,156,44.9,62.2,25.6,26.3,25.6,17.3,19.9,9.6,9.0,3.8,9.0
性・年齢別女性70歳以上,196,46.4,43.4,14.8,22.4,33.7,16.8,14.3,7.7,7.7,1.5,19.4
