回答,活動内容について知っている（％）,聞いたことがある（％）,知らない（％）,知っている（計）（％）,備考
今回調査（n=1820）,17.7,30.9,51.4,48.6,
平成26年（n=1910）,13.7,28,58.3,41.7,
,,,,,（注1）『知っている（計）』は「活動内容について知っている」「聞いたことがある」の合計
,,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
