,商品・役務分類,28年度（件）,27年度（件）,対前年度比(％),主な項目
1,放送・コンテンツ等,3005,4017,74.8,インターネットを利用した架空・不当請求、公共放送の受信料等のテレビ放送サービス等
2,レンタル・リース・貸借,1273,1370,92.9,賃貸アパートの修理費や敷金等の返金等
3,教室・講座,778,706,110.2,ビジネス教室、タレント・モデル養成教室、スポーツ・健康教室等
4,理美容,744,626,118.8,脱毛・痩身・美顔などのエステティックサービス等
5,役務その他,585,428,136.7,興信所、コンサルティング契約、ＥＳＴＡの申請代行、不動産仲介サービス等
