回答,割合（％）,備考
地域で主催するイベントや大会（町会、老人会、子供会、地域スポーツクラブなどの大会や教室など）,16.3,
東京都や区市町村・社会体育団体が主催するイベントや大会（地域のスポーツ施設でのイベント、マラソン大会など）,14.3,
民間スポーツ団体主催のイベントや大会（民間スポーツクラブでのスポーツイベントや大会など）,8.6,
学校主催のイベントや大会（運動会など）職場（会社）主催のイベントや大会,6.8,
（ボウリング大会、野球大会、駅伝大会など）,6.2,
その他,0.8,
特に決まっていない,27.9,
参加したいと思わない,38.7,
,,n=1820
,,M.T.=119.6
