,ｎ,野球（％）,サッカー、フットサル（％）,マラソン、駅伝（％）,ダンス（ダンススポーツ、社交ダンス、チアリーディング、ヒップホップなど）（％）,バレーボール、バスケットボール（％）,相撲（％）,テニス（％）,ラグビー、アメリカンフットボール（％）,ゴルフ（％）,陸上競技（％）,柔道、剣道、空手（％）
全体,1820,20.9,9.7,8.4,4.4,4.0,3.2,3.0,2.4,2.3,2.2,2.2
性・年齢別男性（計）,868,27.8,12.4,7.8,2.8,3.6,3.7,2.1,3.2,3.2,2.5,2.6
性・年齢別男性18・19歳,17,23.5,17.6,,,11.8,,,,,,
性・年齢別男性20代,87,25.3,17.2,9.2,2.3,2.3,2.3,3.4,4.6,1.1,8.0,
性・年齢別男性30代,113,30.1,17.7,3.5,2.7,2.7,2.7,1.8,4.4,2.7,,
性・年齢別男性40代,168,31.0,16.1,6.0,4.2,7.7,3.0,1.2,2.4,1.8,2.4,4.8
性・年齢別男性50代,175,23.4,11.4,8.0,4.6,4.0,1.7,2.9,3.4,1.1,1.7,2.3
性・年齢別男性60代,156,27.6,8.3,7.7,1.3,0.6,7.1,3.2,2.6,7.1,1.9,3.2
性・年齢別男性70歳以上,152,29.6,6.6,13.2,1.3,2.0,5.3,0.7,3.3,5.3,3.3,3.9
性・年齢別女性（計）,952,14.6,7.2,8.8,5.9,4.3,2.8,3.8,1.6,1.5,1.9,1.8
性・年齢別女性18・19歳,13,15.4,15.4,,7.7,7.7,,15.4,,,7.7,
性・年齢別女性20代,94,12.8,10.6,6.4,6.4,4.3,2.1,4.3,1.1,1.1,2.1,
性・年齢別女性30代,113,16.8,6.2,5.3,5.3,5.3,2.7,,2.7,1.8,,2.7
性・年齢別女性40代,199,16.1,12.6,7.5,11.1,7.0,1.0,4.0,3.5,1.0,3.5,3.5
性・年齢別女性50代,181,19.9,8.3,9.4,5.0,4.4,3.3,5.0,1.1,0.6,1.7,2.8
性・年齢別女性60代,156,10.3,1.9,9.0,4.5,2.6,1.3,3.2,,1.9,1.3,1.3
性・年齢別女性70歳以上,196,11.2,3.6,13.3,2.6,2.0,6.1,4.1,1.0,2.6,1.5,
