,28年度（件）,27年度（件）,対前年度比(％)
20歳未満,111,116,95.7
20歳代,196,98,200.0
30歳代,376,162,232.1
40歳代,567,187,303.2
50歳代,448,118,379.7
60歳代,174,60,290.0
70歳以上,102,54,188.9
不明等,108,51,211.8
計,2082,846,246.1
