回答,既に加入している（％）,加入したいと思う（％）,加入したいとは思わない（％）,わからない（％）,加入意向（計）（％）,備考
今回調査（n=1820）,4.9,21.4,43.8,29.8,26.3,
平成26年（n=1910）,3.1,25.7,49.9,21.3,28.8,
,,,,,,（注1）『加入意向（計）』は「既に加入している」「加入したいと思う」の合計
,,,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
