,平成24年度(件),平成25年度(件),平成26年度(件),平成27年度(件),平成28年度(件)
化粧品,70,61,55,155,395
健康食品,43,188,212,631,1530
飲料,7,1,22,60,157
合計,120,250,289,846,2082
