回答,参加した（計）（％）,参加したことがない（％）,わからない（％）,備考
今回調査（n=1820）,22.4,76.5,1.0,
平成26年（n=1910）,26.1,73.4,0.5,
,,,,（注1）『参加した（計）』は「参加したことがない」「わからない」以外の選択肢をんだ人の割合
,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
