,平成22年度(件）,平成23年度(件）,平成24年度(件）,平成25年度(件）,平成26年度上半期(件）
テレビ放送サービス,796,875,812,950,508
有線テレビ放送,1044,1026,727,654,343
インターネット接続回線,1413,1381,1535,1740,1122
うち光ファイバー,744,754,923,1061,713
固定電話サービス,797,689,692,599,391
うちIP電話,161,184,245,205,164
携帯電話サービス,1859,2011,2033,2339,1229
モバイルデータ通信,391,653,818,962,544
放送・通信サービス計,6300,6635,6617,7244,4137
