順位,女の子0歳事例,女の子0歳（件）,女の子1歳事例,女の子1歳（件）,女の子2歳事例,女の子2歳（件）,女の子3歳事例,女の子3歳（件）,女の子4歳事例,女の子4歳（件）,女の子5歳事例,女の子5歳（件）,女の子6歳事例,女の子6歳（件）
1,溺水,36,溺水,115,転落・転倒,176,転落・転倒,114,転落・転倒,33,転落・転倒,21,切った,9
2,転落・転倒,23,転落・転倒,97,溺水,61,やけど,29,やけど,15,溺水,6,やけど,4
3,切った,14,切った,41,やけど,46,切った,29,ぶつけた,11,やけど,5,転落・転倒,4
3,,,,,,,,,切った,11,,,,
事例総数,,94,,362,,387,,229,,94,,42,,21
