回答,比較的軽いスポーツのみ（％）,比較的軽いスポーツと比較的広域にわたるスポーツ（％）,比較的軽いスポーツと競技的スポーツ（％）,比較的軽いスポーツと比較的広域にわたるスポーツと競技的スポーツ（％）,比較的広域にわたるスポーツのみ（％）,比較的広域にわたるスポーツと競技的スポーツ（％）,競技的スポーツのみ（％）,スポーツや運動は実施しなかった（％）,スポーツや運動を実施した（計）（％）
今回調査（n=1820）,44.2,24.4,3.1,9.6,2.7,0.3,0.8,15.0,85.0
平成26年（n=1910）（％）,40.8,30.1,3.8,10.5,2.3,0.1,0.7,11.9,88.1
