,男の子(人),男の子割合(％),女の子(人),女の子割合(％)
6か月未満(n=162),73,2.4,89,3.0
6か月以上1歳未満(n=255),116,3.9,139,4.6
1歳(n=520),272,9.1,248,8.3
2歳(n=748),369,12.3,379,12.6
3歳(n=694),360,12.0,334,11.1
4歳(n=663),367,12.2,296,9.9
5歳(n=600),299,10.0,301,10.0
6歳(就学前)(n=468),237,7.9,231,7.7
小学生以上(n=908),431,15.4,447,14.9
