回答,今回調査（％）,平成26年（％）,備考
健康・体力づくりのため,67.2,65.4,
運動不足を感じるから,49.2,48.2,
楽しみや、気晴らしとして,47.9,51.8,
友人・仲間との交流として,24.2,28.6,
美容や肥満解消のため,15.1,15.3,
家族のふれあいとして,13.8,14.7,
自己の記録や能力を向上させるため,5.7,4.8,
精神の修養や訓練のため,5.4,4.7,
その他,3.2,2.6,
特に理由はない,1.9,1.8,
,,,今回調査（n=1547）
,,,平成26年（n=1683）
