回答,割合(％),人数(人),備考
シャツ（Yシャツ・Tシャツ等）のポケット,15.5,156,
ジャケット・羽織の内ポケット,10.3,104,
ジャケット・羽織の外ポケット,12.6,127,
パンツ、スカートの後ろポケット,14.5,146,
パンツ、スカートの前ポケット,23.6,237,
その他のポケット,3.5,35,
バッグの中,66.0,663,
その他,2.0,20,
スマートフォンを持ち歩かない,0.8,8,
,,,n=1005
,,,複数回答
