回答,東京都以外にも他の自治体で開催されることは知っている（％）,東京都で開催されることは知っている（％）,開催される自治体名は分からないが、日本で開催されることを知っている（％）,日本でラグビーワールドカップ2019?が開催されることを知らない（％）
全体（n=1820）,10.3,17.3,27.7,44.8
エリア別区部（計）（n=1184）,10.6,18.1,28.8,42.5
エリア別区部センター・コア（n=297）,9.4,19.9,28.3,42.4
エリア別区部区部東部・北部（n=381）,10.5,13.6,28.3,47.5
エリア別区部区部西部・南部（n=506）,11.5,20.4,29.4,38.7
エリア別市町村部（計）（n=636）,9.6,15.7,25.6,49.1
エリア別市町村部多摩東部（n=236）,12.3,19.5,22.0,46.2
エリア別市町村部多摩中央部北（n=99）,10.1,13.1,30.3,46.5
エリア別市町村部多摩中央部南（n=263）,7.6,14.4,25.9,52.1
エリア別市町村部多摩西部・島しょ（n=38）,5.3,7.9,34.2,52.6
性・年齢別男性（計）（n=868）,14.7,19.0,30.5,35.7
性・年齢別男性18・19歳（n=17）,5.9,5.9,11.8,76.5
性・年齢別男性20代（n=87）,18.4,9.2,21.8,50.6
性・年齢別男性30代（n=113）,9.7,15.9,30.1,44.2
性・年齢別男性40代（n=168）,13.7,17.9,33.9,34.5
性・年齢別男性50代（n=175）,16.6,23.4,32.0,28.0
性・年齢別男性60代（n=156）,16.0,26.9,35.3,21.8
性・年齢別男性70歳以上（n=152）,15.1,16.4,27.6,40.8
性・年齢別女性（計）（n=952）,6.2,15.7,25.1,53.0
性・年齢別女性18・19歳（n=13）,0,7.7,23.1,69.2
性・年齢別女性20代（n=94）,2.1,7.4,21.3,69.1
性・年齢別女性30代（n=113）,2.7,9.7,23.9,63.7
性・年齢別女性40代（n=199）,6.5,17.1,21.6,54.8
性・年齢別女性50代（n=181）,8.3,18.8,29.8,43.1
性・年齢別女性60代（n=156）,7.1,23.1,26.9,42.9
性・年齢別女性70歳以上（n=196）,7.7,13.3,25.5,53.6
