,n,地域で主催するイベントや大会（町会、老人会、子供会、地域スポーツクラブなどの大会や教室など）（％）,学校主催のイベントや大会（運動会など）（％）,職場（会社）主催のイベントや大会（ボウリング大会、野球大会、駅伝大会など）（％）,東京都や区市町村・社会体育団体が主催するイベントや大会（地域のスポーツ施設でのイベント、マラソン大会など）（％）,民間スポーツ団体主催のイベントや大会（民間スポーツクラブでのスポーツイベントや大会など）（％）,その他（％）,参加したことがない（％）,わからない（％）
全体,1820,7.5,6.3,4.9,4.6,4.6,0.8,76.5,1.0
エリア別区部（計）,1184,6.8,5.8,5.7,4.6,4.9,0.7,77.2,0.8
エリア別区部センター・コア,297,5.4,4.4,5.1,3.0,4.7,0.3,78.5,2.4
エリア別区部区部東部・北部,381,7.6,6.0,7.3,6.3,6.0,0.3,75.6,0.3
エリア別区部区部西部・南部,506,7.1,6.5,4.7,4.2,4.2,1.2,77.7,0.4
エリア別市町村部（計）,636,8.8,7.2,3.5,4.7,4.1,0.9,75.3,1.4
エリア別市町村部多摩東部,236,6.8,8.1,4.7,5.5,3.8,0.8,76.7,0.8
エリア別市町村部多摩中央部北,99,12.1,8.1,2.0,4.0,4.0,,70.7,4.0
エリア別市町村部多摩中央部南,263,7.6,7.2,3.0,3.4,4.6,1.5,77.2,0.4
エリア別市町村部多摩西部・島しょ,38,21.1,,2.6,10.5,2.6,,65.8,5.3
性・年齢別男性（計）,868,7.3,5.5,7.1,5.6,4.8,0.9,75.9,0.7
性・年齢別男性18・19歳,17,5.9,11.8,,5.9,23.5,,64.7,
性・年齢別男性20代,87,,5.7,8.0,3.4,8.0,,79.3,
性・年齢別男性30代,113,5.3,8.8,14.2,4.4,4.4,1.8,69.0,0.9
性・年齢別男性40代,168,7.7,13.7,10.1,8.9,4.2,1.2,70.2,1.8
性・年齢別男性50代,175,5.1,3.4,8.0,8.0,4.6,1.1,77.1,
性・年齢別男性60代,156,7.1,0.6,3.8,2.6,3.8,0.6,82.7,
性・年齢別男性70歳以上,152,15.1,0.7,1.3,4.6,3.3,0.7,78.3,1.3
性・年齢別女性（計）,952,7.8,7.0,2.8,3.7,4.4,0.6,77.1,1.4
性・年齢別女性18・19歳,13,,38.5,,,,,61.5,
性・年齢別女性20代,94,3.2,5.3,7.4,2.1,1.1,,80.9,3.2
性・年齢別女性30代,113,8.0,16.8,7.1,1.8,6.2,2.7,68.1,0.9
性・年齢別女性40代,199,6.5,14.1,3.0,3.0,5.0,,72.4,1.5
性・年齢別女性50代,181,5.0,3.3,2.8,6.6,7.2,0.6,81.2,1.1
性・年齢別女性60代,156,7.1,1.9,0.6,4.5,5.1,0.6,81.4,0.6
女性70歳以上,196,14.8,0.5,,3.1,1.5,0.5,79.1,1.5
