,10万円未満(%),10～30万円未満(%),30～50万円未満(%),50～100万円未満(%),100万円以上(%)
17年度(n=2975),33.3,47.8,11.5,5.4,2.0
18年度(n=2812),34.6,46.5,11.5,4.8,2.6
19年度(n=3097),35.8,43.8,12.1,5.9,2.4
20年度(n=3088）,35.8,43.9,11.6,5.2,3.4
21年度(n=3772),39.4,42.7,11.1,4.6,2.1
