回答,割合(％),備考
国会議員、都道府県議会議員、区市町村議会議員,50.6,
企業の管理職,46.8,
都道府県知事、区市町村長,43.7,
国家公務員・地方公務員の管理職,41.5,
裁判官、検察官、弁護士,40.8,
起業家・経営者,37.6,
国連などの国際機関の管理職,33.6,
大学教授,28.3,
労働組合の幹部,27.3,
自治会長、町内会長等,27.3,
新聞・放送の記者,26.5,
農協等の団体役員,19.8,
その他,2.6,
特にない,12.2,
わからない,6.8,
,,n=1821
,,M.T.=445.6
