回答,割合(％),件数(件),備考
店頭にリーフレットを設置し安全な使用を促している,34.5,19,
スマートフォンの使い方教室を実施しており、その中で紹介している,18.2,10,
その他の手法で安全な利用について呼びかけている,3.6,2,
その他、未回答,43.6,24,
,,,n=55
,,,自由回答
