回答,実際に観戦した（計）（％）,観戦しなかった（％）,わからない（％）,備考
今回調査（n=1820）,39.3,59.8,0.8,
平成26年（n=1910）,39.5,59.3,1.3,
,,,,（注1）『実際に観戦した（計）』は「観戦しなかった」「わからない以外の選択肢をんだ人の割合
,,,,（注2）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
