,n,テニス（車いすテニスを含む）（％）,水泳競技（％）,陸上競技（車いすマラソンを含む）（％）,バスケットボール（車椅子バスケットボールを含む）（％）,柔道（％）,ボッチャ（％）,サッカー（ブラインドサッカーを含む）、フットサル（％）,卓球（サウンドテーブルテニスを含む）（％）,ゴールボール（％）,バレーボール（シッティングバレーを含む）（％）
全体,1295,76.3,62.2,54.6,48.6,37.6,32.4,26.9,22.3,15.7,12.8
性・年齢別男性（計）,611,76.4,58.3,56.0,47.8,40.4,31.6,27.8,18.8,19.1,13.6
性・年齢別男性18・19歳,5,60.0,,40.0,20.0,20.0,,20.0,,,
性・年齢別男性20代,50,74.0,32.0,42.0,38.0,12.0,12.0,18.0,10.0,2.0,6.0
性・年齢別男性30代,69,72.5,46.4,47.8,53.6,31.9,18.8,34.8,7.2,15.9,13.0
性・年齢別男性40代,114,69.3,50.9,57.9,41.2,28.1,28.9,35.1,12.3,18.4,16.7
性・年齢別男性50代,132,82.6,62.9,56.1,43.9,43.9,30.3,25.0,12.1,21.2,10.6
性・年齢別男性60代,127,74.8,68.5,60.6,58.3,48.8,40.9,26.8,23.6,29.1,12.6
性・年齢別男性70歳以上,114,82.5,70.2,60.5,49.1,57.9,43.0,25.4,39.5,16.7,19.3
性・年齢別女性（計）,684,76.2,65.8,53.4,49.4,35.1,33.0,26.2,25.4,12.6,12.1
性・年齢別女性18・19歳,7,100.0,42.9,85.7,57.1,14.3,14.3,28.6,,,
性・年齢別女性20代,47,76.6,29.8,34.0,48.9,10.6,19.1,23.4,17.0,6.4,10.6
性・年齢別女性30代,82,72.0,54.9,53.7,45.1,26.8,35.4,18.3,12.2,12.2,9.8
性・年齢別女性40代,145,76.6,62.1,51.0,42.8,24.1,24.8,30.3,17.2,13.8,12.4
性・年齢別女性50代,136,83.8,72.1,59.6,53.7,39.0,38.2,31.6,27.9,15.4,14.0
性・年齢別女性60代,120,73.3,80.8,48.3,50.8,53.3,33.3,19.2,30.0,11.7,15.0
性・年齢別女性70歳以上,147,72.1,70.1,58.5,53.1,40.8,40.1,27.9,38.8,12.2,10.2
