回答,受けたことがある,受けた行為がハラスメントにあたるか分からない,見聞きしたことがある,見聞きしたことも受けたこともない,無回答
男性(％),20.4,12.4,38.3,38.7,0.7
女性(％),9.5,8.0,31.7,53.2,0.6
