,n,ウオーキング、散歩（散策、ペットの散歩などを含む）（％）,体操（ラジオ体操、職場体操、ストレッチ、エクササイズ、エアロビクス、ヨガ、ピラティス、縄跳びを含む）（％）,軽い球技（キャッチボール、卓球、ドッジボール、バドミントン、テニス、バレーボール、サッカー、フットサル、ボッチャなど）（％）,軽い水泳（水中歩行・水中運動を含む）（％）,ランニング（ジョギング）（％）,室内運動器具（ウエイト器具、ランニングマシーン、バランスボールなど）を使ってする運動（％）,サイクリング、モーター（サイクル）スポーツ（％）,ボウリング（％）,ゴルフ（％）,海水浴（遊泳）（％）
全体,1820,65.5,36.2,18.1,15.4,14.6,14.6,14.0,10.9,9.2,8.2
性・年齢別男性（計）,868,65.2,28.3,22.8,16.6,21.5,15.7,17.1,13.2,15.1,9.8
性・年齢別男性18・19歳,17,47.1,17.6,70.6,47.1,52.9,35.3,17.6,52.9,,41.2
性・年齢別男性20代,87,55.2,27.6,44.8,14.9,31.0,23.0,17.2,29.9,8.0,11.5
性・年齢別男性30代,113,65.5,30.1,36.3,22.1,31.9,24.8,18.6,14.2,12.4,15.9
性・年齢別男性40代,168,63.7,31.0,29.2,20.8,29.2,13.1,26.2,19.0,13.7,13.7
性・年齢別男性50代,175,62.3,30.3,17.1,12.0,15.4,17.1,18.9,6.9,17.1,8.0
性・年齢別男性60代,156,73.1,24.4,10.9,14.1,15.4,11.5,9.6,6.4,21.8,6.4
性・年齢別男性70歳以上,152,69.7,27.6,6.6,13.2,9.9,7.9,11.2,6.6,15.1,2.0
性・年齢別女性（計）,952,65.9,43.4,13.8,14.3,8.2,13.7,11.1,8.7,3.9,6.8
性・年齢別女性18・19歳,13,76.9,30.8,76.9,30.8,30.8,23.1,23.1,38.5,7.7,7.7
性・年齢別女性20代,94,69.1,39.4,23.4,14.9,16.0,10.6,14.9,21.3,4.3,14.9
性・年齢別女性30代,113,71.7,41.6,14.2,20.4,17.7,18.6,14.2,9.7,3.5,11.5
性・年齢別女性40代,199,68.3,45.2,20.1,17.6,7.5,18.1,15.6,13.1,3.5,13.6
性・年齢別女性50代,181,66.3,53.0,12.7,13.8,9.4,15.5,13.3,7.7,4.4,3.3
性・年齢別女性60代,156,66.7,39.7,7.7,12.8,2.6,10.9,6.4,3.8,5.8,1.9
性・年齢別女性70歳以上,196,56.6,39.3,4.1,7.7,1.5,7.7,4.1,0.5,2.0,0.5
職業別自営・家族従業（計）,238,63.0,33.6,13.9,13.9,15.5,14.3,14.7,8.8,13.4,10.9
職業別勤め（計）,926,66.2,36.5,21.4,16.4,17.8,15.7,16.3,13.7,11.1,9.6
職業別勤め経営・管理職,51,68.6,39.2,19.6,25.5,23.5,19.6,13.7,3.9,29.4,13.7
職業別勤め専門・技術職,43,62.8,23.3,25.6,11.6,20.9,23.3,14.0,11.6,7.0,4.7
職業別勤め事務職,453,71.1,42.2,22.3,18.1,20.1,17.4,17.9,15.7,10.8,11.3
職業別勤め労務・技能職,155,54.2,27.7,17.4,12.9,12.3,7.7,14.8,12.3,9.7,5.2
職業別勤め販売・サービス職,196,65.8,31.1,21.4,14.3,15.3,14.8,15.3,14.3,7.1,8.7
職業別無職の主婦・主夫,432,66.2,40.0,10.4,14.6,5.6,13.4,8.6,3.5,3.5,4.2
職業別学生,73,67.1,37.0,56.2,30.1,38.4,23.3,20.5,37,6.8,19.2
職業別その他の無職,141,63.8,27.7,7.8,7.1,7.1,7.1,9.9,5.7,9.2,2.1
