,給与生活者(％),自営自由業(％),家事従事者(％),無職(％),企業団体(％)
"住宅リフォームに関する相談全体(1,170件)",21.5,8.7,24.1,39.4,6.2
うち店舗購入(344件),26.2,9.0,28.2,29.9,6.7
うち訪問販売(486件),17.5,7.6,22.8,51.2,0.8
