回答,週5日以上（年251日以上）（％）,週3～4日（年151日～250日）（％）,週に2日（年101日～150日）（％）,週に1日（年51日～100日）（％）,月に1～3日（年12日～50日）（％）,3ヶ月に1～2日（年4日～11日）（％）,年に1～3日（％）,わからない（％）
"全体（n=1,689）",7.7,13.0,18.4,17.6,22.1,8.8,7.0,5.4
性・年齢別男性（計）（n=816）,8.3,14.2,21.3,18.4,19.0,7.7,6.0,5.0
性・年齢別男性18・19歳（n=14）,7.1,0,21.4,7.1,21.4,28.6,14.3,0
性・年齢別男性20代（n=74）,6.8,6.8,13.5,20.3,24.3,6.8,10.8,10.8
性・年齢別男性30代（n=106）,1.9,15.1,12.3,17.9,30.2,11.3,6.6,4.7
性・年齢別男性40代（n=157）,6.4,10.8,20.4,19.1,24.2,7.6,7.0,4.5
性・年齢別男性50代（n=167）,6.0,12.0,24.6,23.4,18.0,6.6,5.4,4.2
性・年齢別男性60代（n=152）,10.5,18.4,30.3,19.1,11.2,3.9,3.9,2.6
性・年齢別男性70歳以上（n=146）,16.4,20.5,19.9,11.6,11.6,8.9,4.1,6.8
性・年齢別女性（計）（n=873）,7.1,11.9,15.7,17.0,25.0,9.7,7.9,5.7
性・年齢別女性18・19歳（n=11）,0,9.1,9.1,0,9.1,45.5,18.2,9.1
性・年齢別女性20代（n=85）,1.2,1.2,9.4,11.8,30.6,16.5,22.4,7.1
性・年齢別女性30代（n=100）,3.0,7.0,9.0,20.0,29.0,10.0,12.0,10.0
性・年齢別女性40代（n=188）,5.9,8.5,14.4,18.6,28.2,13.3,6.9,4.3
性・年齢別女性50代（n=166）,9.0,13.3,19.3,12.7,24.7,10.2,7.2,3.6
性・年齢別女性60代（n=146）,5.5,16.4,14.4,24.0,28.8,4.8,3.4,2.7
性・年齢別女性70歳以上（n=177）,13.6,18.6,22.0,15.3,14.7,4.0,3.4,8.5
