回答,週5日以上（年251日以上）（％）,週3～4日（年151日～250日）（％）,週に2日（年101日～150日）（％）,週に1日（年51日～100日）（％）,月に1～3日（年12日～50日）（％）,3ヶ月に1～2日（年4日～11日）（％）,年に1～3日（％）,わからない（％）,備考
今回調査（n=1689）,7.7,13.0,18.4,17.6,22.1,8.8,7.0,5.4,
平成26年（n=1789）,6.4,14.6,18.9,18.0,22.2,9.7,6.3,3.9,
,,,,,,,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
