回答,割合（％）,備考
野球,20.9,
サッカー、フットサル,9.7,
マラソン、駅伝,8.4,
ダンス（ダンススポーツ、社交ダンス、チアリーディング、ヒップホップなど）,4.4,
バレーボール、バスケットボール,4.0,
相撲,3.2,
テニス,3.0,
ラグビー、アメリカンフットボール,2.4,
ゴルフ,2.3,
陸上競技,2.2,
柔道、剣道、空手,2.2,
ボクシング、レスリング、その他の格闘技,1.7,
水泳競技,1.6,
スケート、フィギュアスケート,1.5,
ソフトボール,1.1,
体操,1.0,
卓球,1.0,
バドミントン,0.9,
その他,0.9,
観戦しなかった,59.8,
わからない,0.8,
,,n=1820
,,M.T.=133.0
