,ｎ数(人),切った(人),やけど(人),物が落ちてきた(人),転落・転倒(人),ぶつけた(人),その他(人)
全体,318,202,102,9,1,1,3
男の子,172,108,54,6,1,1,2
男の子０歳,8,4,3,0,0,0,1
男の子１歳,57,43,11,2,0,0,1
男の子２歳,50,30,16,3,0,1,0
男の子３歳,33,19,13,0,1,0,0
男の子４歳,16,6,10,0,0,0,0
男の子５歳,6,4,1,1,0,0,0
男の子６歳,2,2,0,0,0,0,0
女の子,146,94,48,3,0,0,1
女の子０歳,12,8,3,1,0,0,0
女の子１歳,34,26,6,2,0,0,0
女の子２歳,44,26,17,0,0,0,1
女の子３歳,25,16,9,0,0,0,0
女の子４歳,14,7,7,0,0,0,0
女の子５歳,6,3,3,0,0,0,0
女の子６歳,11,8,3,0,0,0,0
