回答,割合(％),人数(人),備考
大きさが適当だったから,41.3,415,
操作しやすかったから,37.9,381,
デザインがよかったから,31.7,319,
欲しい機能があったから,21.2,213,
ケース等アクセサリが充実していたから,3.1,31,
流行っていたから,9.7,97,
安かったから,18.4,185,
ブランドイメージがよかったから,20.5,206,
その他,7.1,71,
分からない,4.2,42,
,,,n=1005
,,,単一回答
