回答,今回調査（％）,平成24年（％）,備考
子供のスポーツや運動の部活動やクラブ等の運営や支援,7.4,5.3,
スポーツ活動などの運営や支援（クラブ、スポーツ団体等の定期的な活動）,3.8,3.3,
スポーツイベントのボランティア（スポーツ大会などの不定期的な活動）,2.5,2.0,
仕事としてスポーツに関わっている（インストラクター、教員、スポーツ用品販売員など）,1.6,1.5,
スポーツイベントの募金やオークションなどのチャリティ活動,1.3,1.5,
活動していない,85.1,88.2,
わからない,1.8,0.7,
,,,今回調査（n=1820）
,,,平成24年（n=1928）
