,ｎ数(人),浴槽(人),洗い場(人),お風呂いす(人),お風呂マット(人),浴槽ふた(人),石鹸(人),カミソリ(人),水栓(人),扉(人),シャンプー(人),シャワー(人),浮き輪(人),入浴剤(人),湯おけ(人),お風呂掃除用品(人),ベビーバス(人),窓(人),その他(人)
全体,1299,532,144,106,80,78,63,63,44,37,36,33,22,15,12,12,7,4,11
男の子,726,287,72,59,55,43,38,35,21,28,21,21,15,8,4,7,4,4,4
男の子０歳,75,26,2,2,2,4,6,4,6,4,3,4,8,0,0,0,3,1,0
男の子１歳,235,109,17,13,15,8,13,13,7,9,11,5,6,2,1,3,0,2,1
男の子２歳,211,97,25,21,17,14,6,8,1,4,4,6,0,3,2,2,0,1,0
男の子３歳,120,33,14,18,9,8,9,5,4,8,1,5,0,2,1,1,1,0,1
男の子４歳,44,13,8,3,4,5,3,1,1,2,0,1,0,1,0,0,0,0,2
男の子５歳,26,7,6,2,3,2,1,1,1,0,2,0,1,0,0,0,0,0,0
男の子６歳,15,2,0,0,5,2,0,3,1,1,0,0,0,0,0,1,0,0,0
女の子,573,245,72,47,25,35,25,28,23,9,15,12,7,7,8,5,3,0,7
女の子０歳,56,20,5,5,3,10,0,2,0,0,1,2,3,0,3,0,2,0,0
女の子１歳,200,115,22,4,7,9,8,12,7,3,5,2,2,1,0,1,1,0,1
女の子２歳,176,69,24,20,10,8,7,7,7,3,6,3,1,4,2,2,0,0,3
女の子３歳,81,25,12,7,3,2,8,5,5,3,1,4,1,1,2,1,0,0,1
女の子４歳,35,10,5,6,0,3,2,2,2,0,1,1,0,0,1,1,0,0,1
女の子５歳,21,5,3,4,2,2,0,0,2,0,1,0,0,1,0,0,0,0,1
女の子６歳,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
