,ｎ数(人),転落・転倒(人),ぶつけた(人),誤飲(人),はさんだ(人),切った(人),その他(人)
全体,104,84,2,2,1,1,14
男の子,63,48,2,2,1,1,9
男の子０歳,3,1,0,0,1,0,1
男の子１歳,12,6,0,2,0,1,3
男の子２歳,21,16,2,0,0,0,3
男の子３歳,22,22,0,0,0,0,0
男の子４歳,3,3,0,0,0,0,0
男の子５歳,2,0,0,0,0,0,2
男の子６歳,0,0,0,0,0,0,0
女の子,41,36,0,0,0,0,5
女の子０歳,0,0,0,0,0,0,0
女の子１歳,5,1,0,0,0,0,4
女の子２歳,15,14,0,0,0,0,1
女の子３歳,14,14,0,0,0,0,0
女の子４歳,5,5,0,0,0,0,0
女の子５歳,2,2,0,0,0,0,0
女の子６歳,0,0,0,0,0,0,0
