回答,今回調査（％）,平成26年（％）,備考
仲間・友人と,57.2,64.5,
ひとりで,41.7,41.5,
家族と,38.9,41.5,
現在住んでいる地域の人々と,10.9,12.5,
職場の人々と,5.8,8.7,
実施したくない,4.0,3.0,
その他,0.6,0.5,
わからない,4.7,2.0,
,,,今回調査（n=1820）
,,,平成26年（n=1910）
,,,（注）平成26年は「都民のスポーツ活動に関する世論調査（平成26年10月調査）」
