,給与生活者(%),自営自由業(%),家事従事者(%),学生(%),無職(%),企業団体等(%),不明等(%)
相談全体(66190件),37.4,6.4,15.2,4.4,21.1,3.8,11.8
インターネット取引相談(17456件),51.4,6.3,12.4,8.5,12.7,1.2,7.4
