時間,～30分未満,30分以上～1時間未満,1時間以上～1.5時間未満,1.5時間以上～2時間未満,2時間以上～2.5時間未満,2.5時間以上～3時間未満,3時間以上～4時間未満,4時間以上～5時間未満,5時間以上～6時間未満,6時間以上～12時間未満,12時間以上～,,
男性割合(％),51.9,25.9,10.2,5.3,2.4,2.5,0.1,0.7,0.5,0.5,0.1,,
男性人数(人),854,426,167,87,39,41,2,11,8,8,1,,
女性割合(％),4.4,9.8,15.5,15.5,11.4,24.3,1.8,4.7,6.2,5.0,1.3,,
女性人数(人),93,206,327,328,241,513,3.9,100,130,106,28,,
備考,,,,,,,,,,,,男性(n=1644)女性（n=2111）,注：数値は、男性の有効回答結果（1644人）と女性の有効回答結果（2111人）を合算したもの
