,n,感動した（％）,次回も観戦したいと思った（％）,元気が出た（％）,気分転換ができた・ストレスが解消した（％）,選手に親近感をもった（％）,自分もスポーツや運動をしたくなった（％）,スポーツや運動を好きになった（％）,感性が豊かになった（％）,今後は観戦したくないと思った（％）,その他（％）,わからない（％）
全体,1689,66.3,40.2,35.6,34.8,26.2,24.3,12.9,11.1,0.7,1.5,4.3
性・年齢別男性（計）,816,56.4,40.1,32,40.8,23.4,27.5,11.9,9.8,0.9,2.3,5.5
性・年齢別男性18・19歳,14,42.9,35.7,21.4,28.6,7.1,57.1,14.3,14.3,-,-,-
性・年齢別男性20代,74,39.2,32.4,13.5,31.1,16.2,48.6,10.8,6.8,1.4,4.1,6.8
性・年齢別男性30代,106,53.8,37.7,27.4,39.6,18.9,38.7,16,9.4,1.9,2.8,4.7
性・年齢別男性40代,157,57.3,36.9,38.9,42,24.2,31.2,11.5,7,-,1.3,5.7
性・年齢別男性50代,167,62.9,41.3,38.9,43.1,25.1,25.7,10.8,13.2,-,-,6
性・年齢別男性60代,152,65.1,44.1,30.9,41.4,27,17.8,13.2,9.2,2.6,3.9,6.6
性・年齢別男性70歳以上,146,50.7,43.8,31.5,43.2,25.3,13.7,9.6,11,-,3.4,4.1
性・年齢別女性（計）,873,75.5,40.3,39.1,29.1,28.8,21.4,13.9,12.3,0.5,0.8,3.1
性・年齢別女性18・19歳,11,72.7,36.4,45.5,45.5,9.1,54.5,9.1,18.2,-,-,-
性・年齢別女性20代,85,63.5,27.1,31.8,17.6,15.3,38.8,7.1,3.5,-,1.2,8.2
性・年齢別女性30代,100,72,36,36,29,28,30,17,12,-,-,3
性・年齢別女性40代,188,79.8,42,38.8,23.9,26.1,24.5,12.8,9,0.5,0.5,2.1
性・年齢別女性50代,166,75.3,44.6,44.6,36.1,31.9,25.3,16.9,15.7,0.6,1.2,1.2
性・年齢別女性60代,146,77.4,45.9,38.4,27.4,40.4,10.3,16.4,16.4,0.7,0.7,2.7
性・年齢別女性70歳以上,177,77.4,39,39.5,33.9,27.1,8.5,11.9,13,0.6,1.1,4
