回答,0人,1人,2人,3人,4人,5人,6人以上,
割合(％),14.7,11.9,49.9,20.5,1.8,0.2,0.8,
人数(人),322,261,1091,448,40,5,18,
備考,,,,,,,,"全体(n=2,185)"
